stockid,open,high,low,close,histtime,volume
MSFT,41.73,42,41.69,41.99,2014-06-23,18743900
MSFT,41.83,41.94,41.56,41.75,2014-06-24,26509100
MSFT,41.7,42.05,41.46,42.03,2014-06-25,20049100
MSFT,41.93,41.94,41.43,41.72,2014-06-26,23604400
MSFT,41.61,42.29,41.51,42.25,2014-06-27,74640000
MSFT,42.17,42.21,41.7,41.7,2014-06-30,30805500
MSFT,41.86,42.15,41.69,41.87,2014-07-01,26917000
MSFT,41.73,41.9,41.53,41.9,2014-07-02,20208100
MSFT,41.91,41.99,41.56,41.8,2014-07-03,15969300
MSFT,41.75,42.12,41.71,41.99,2014-07-07,21952400
MSFT,41.87,42,41.61,41.78,2014-07-08,31218200
MSFT,41.98,41.99,41.53,41.67,2014-07-09,18445900
MSFT,41.37,42,41.05,41.69,2014-07-10,21854700
MSFT,41.7,42.09,41.48,42.09,2014-07-11,24083000
MSFT,42.22,42.45,42.04,42.14,2014-07-14,21881100
MSFT,42.33,42.47,42.03,42.45,2014-07-15,28748700
MSFT,42.51,44.31,42.48,44.08,2014-07-16,63318000
MSFT,45.45,45.71,44.25,44.53,2014-07-17,82180300
MSFT,44.65,44.84,44.25,44.69,2014-07-18,43407500
MSFT,44.56,45.16,44.22,44.84,2014-07-21,37604400
MSFT,45,45.15,44.59,44.83,2014-07-22,43095800
MSFT,45.45,45.45,44.62,44.87,2014-07-23,52362900
MSFT,44.93,45,44.32,44.4,2014-07-24,30725300
MSFT,44.3,44.66,44.3,44.5,2014-07-25,26737700
MSFT,44.36,44.51,43.93,43.97,2014-07-28,29684200
MSFT,43.91,44.09,43.64,43.89,2014-07-29,27763100
MSFT,44.07,44.1,43.29,43.58,2014-07-30,31921400
MSFT,43.38,43.69,43.08,43.16,2014-07-31,31537500
MSFT,43.21,43.25,42.6,42.86,2014-08-01,31170300
MSFT,42.97,43.47,42.81,43.37,2014-08-04,34277400
MSFT,43.31,43.46,42.83,43.08,2014-08-05,26266400
MSFT,42.74,43.17,42.21,42.74,2014-08-06,24634000
MSFT,42.84,43.45,42.65,43.23,2014-08-07,30314900
MSFT,43.23,43.32,42.91,43.2,2014-08-08,28942700
MSFT,43.26,43.45,43.02,43.2,2014-08-11,20351600
MSFT,43.04,43.59,43,43.52,2014-08-12,21431100
MSFT,43.68,44.18,43.52,44.08,2014-08-13,22889500
MSFT,44.08,44.42,44.01,44.27,2014-08-14,19313200
MSFT,44.58,44.9,44.4,44.79,2014-08-15,41611300
MSFT,44.94,45.11,44.68,45.11,2014-08-18,26891100
MSFT,44.97,45.34,44.83,45.33,2014-08-19,28139500
MSFT,45.34,45.4,44.9,44.95,2014-08-20,24770500
MSFT,44.84,45.25,44.83,45.22,2014-08-21,22285500
MSFT,45.35,45.47,45.07,45.15,2014-08-22,18294500
MSFT,45.4,45.44,45.04,45.17,2014-08-25,16910000
MSFT,45.31,45.4,44.94,45.01,2014-08-26,14873100
MSFT,44.9,45,44.76,44.87,2014-08-27,21287900
MSFT,44.75,44.98,44.61,44.88,2014-08-28,17657600
MSFT,45.09,45.44,44.86,45.43,2014-08-29,21607600
MSFT,45.43,45.46,44.85,45.09,2014-09-02,22976800
MSFT,44.53,45.11,44.53,44.96,2014-09-03,33684500
MSFT,44.74,45.27,44.72,45.26,2014-09-04,26475500
MSFT,45.11,45.93,45.11,45.91,2014-09-05,36939400
MSFT,46.02,46.8,45.99,46.47,2014-09-08,45736700
MSFT,46.47,46.97,46.42,46.76,2014-09-09,40302400
MSFT,46.82,46.94,46.28,46.84,2014-09-10,27302400
MSFT,46.74,47,46.47,47,2014-09-11,29216400
MSFT,46.91,47.02,46.6,46.7,2014-09-12,38244700
MSFT,46.54,46.71,46.1,46.24,2014-09-15,37667600
MSFT,46.39,46.85,46.29,46.76,2014-09-16,27910600
MSFT,46.26,46.69,46.23,46.52,2014-09-17,38311900
MSFT,46.59,46.83,46.46,46.68,2014-09-18,35556600
MSFT,46.81,47.57,46.6,47.52,2014-09-19,202522400
MSFT,47.3,47.38,46.98,47.06,2014-09-22,38686100
MSFT,46.85,46.98,46.47,46.56,2014-09-23,33430300
MSFT,46.63,47.11,46.34,47.08,2014-09-24,26582700
MSFT,46.88,47.09,46.03,46.04,2014-09-25,33077400
MSFT,45.93,46.62,45.76,46.41,2014-09-26,27078800
MSFT,45.98,46.56,45.76,46.44,2014-09-29,26091000
MSFT,46.37,46.48,46.01,46.36,2014-09-30,33033100
