stockid,open,high,low,close,histtime,volume
TWTR,38.97,39.07,38.35,38.49,2014-12-05,12587700
TWTR,38.08,38.12,35.75,36.29,2014-12-08,30112800
TWTR,34.97,37.09,34.62,37.05,2014-12-09,20542800
TWTR,36.91,37.78,36.25,36.35,2014-12-10,16497700
TWTR,36.45,37.23,36.25,36.7,2014-12-11,15707100
TWTR,36.31,37.71,36.1,37.1,2014-12-12,15222500
TWTR,38.13,38.38,36.73,36.85,2014-12-15,16833000
TWTR,36.5,36.71,35.09,35.13,2014-12-16,19241200
TWTR,35.56,35.9,34.95,35.57,2014-12-17,18544800
TWTR,36.13,37.27,35.95,36.73,2014-12-18,19087500
TWTR,36.7,37.45,36.5,37.08,2014-12-19,16068700
TWTR,37.5,38.82,37.31,38.43,2014-12-22,20079000
TWTR,38.58,39.25,37.46,37.57,2014-12-23,16858000
TWTR,37.67,38.35,37.56,37.61,2014-12-24,6254200
TWTR,37.76,38.1,37.54,37.6,2014-12-26,7324000
TWTR,37.39,37.51,36.38,36.42,2014-12-29,13565400
TWTR,36.02,36.24,35.46,35.86,2014-12-30,19494600
TWTR,35.89,36.49,35.47,35.87,2014-12-31,17650100
TWTR,36.23,36.74,35.54,36.56,2015-01-02,12062500
TWTR,36.26,37.11,35.64,36.38,2015-01-05,15062700
TWTR,36.27,39.45,36.04,38.76,2015-01-06,33050800
TWTR,39.1,39.1,37.06,37.28,2015-01-07,22675700
TWTR,37.42,39.19,37.09,39.09,2015-01-08,19190400
TWTR,39.22,40.34,38.26,40.17,2015-01-09,24738400
TWTR,40.28,40.95,39.3,39.37,2015-01-12,27639000
TWTR,39.74,40.35,39.23,39.65,2015-01-13,18395500
TWTR,38.89,40.18,38.8,39.85,2015-01-14,16054700
TWTR,39.7,39.7,36.86,36.93,2015-01-15,23042000
TWTR,37.18,38.13,36.85,37.31,2015-01-16,14966100
TWTR,37.59,38.14,36.54,37.57,2015-01-20,17641700
TWTR,37.65,38.27,37.33,37.83,2015-01-21,12181300
TWTR,37.98,39.25,37.55,39.07,2015-01-22,20451700
TWTR,39.48,39.97,38.78,39.42,2015-01-23,16439200
TWTR,39.33,40.13,39.04,40.1,2015-01-26,13838200
TWTR,39.56,39.61,38.38,38.92,2015-01-27,15746400
TWTR,38.43,38.78,37.03,37.15,2015-01-28,22367600
TWTR,37.39,37.57,36.07,36.68,2015-01-29,20088500
TWTR,36.65,38.15,36.41,37.53,2015-01-30,15390200
TWTR,37.7,38.07,36.92,37.46,2015-02-02,13895900
TWTR,38,40.19,37.69,39.79,2015-02-03,28395400
TWTR,40.05,40.83,39.82,40.72,2015-02-04,23116800
TWTR,42.04,42.47,40.91,41.26,2015-02-05,61997300
TWTR,46.12,48.5,45.8,48.01,2015-02-06,102669800
TWTR,46.73,47.69,46.5,47.32,2015-02-09,36177900
TWTR,47.35,47.39,45.57,46.26,2015-02-10,32287800
TWTR,46.27,47.78,46.11,47.5,2015-02-11,24747000
TWTR,47.98,48.45,46.88,47.95,2015-02-12,23071600
TWTR,47.93,48.82,47.57,48.5,2015-02-13,20809600
TWTR,48.2,49.09,47.89,48.03,2015-02-17,16670200
TWTR,48,48.79,47.36,47.82,2015-02-18,15503100
TWTR,47.84,48.94,47.42,48.7,2015-02-19,18153400
TWTR,48.76,49.88,48.65,49.11,2015-02-20,20755600
TWTR,49.02,49.24,48.35,48.47,2015-02-23,12541400
TWTR,48.33,49.3,48.06,48.69,2015-02-24,11073700
